,photo_url,link,name,central_distance,sustainability,rating,comfort_rating,review_count,room_description,room_specifics,price,original_price,neighborhood_city,start_date,end_date,map_lat,map_lng,name,description
0,https://cf.bstatic.com/xdata/images/hotel/square600/338164874.webp?k=f440c0ff7ff024cd3285273800ae6dd521ebe139ac5ce627c145f56a1c339485&o=,https://www.booking.com/hotel/us/caza.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215710&all_sr_blocks=521416401_372919619_2_0_0&highlighted_blocks=521416401_372919619_2_0_0&matching_block_id=521416401_372919619_2_0_0&sr_pri_blocks=521416401_372919619_2_0_0__133144&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hotel Caza Fisherman's Wharf,2.3 km from center,Travel Sustainable Level 2,8.4,Comfort 9.0,"2,940 reviews",Deluxe King Room,1 king bed,"€ 1,221","€ 1,626","Fisherman's Wharf, San Francisco",2024-03-03,2024-03-10,37.80658700,-122.41801300,Hotel Caza Fisherman's Wharf,"




You're eligible for a Genius discount at Hotel Caza Fisherman's Wharf! To save at this property, all you have to do is sign in.
Located in San Francisco, a 5-minute walk from Ghirardelli Square, Hotel Caza Fisherman's Wharf has accommodations with free bikes, private parking, an outdoor swimming pool and a fitness center. Among the facilities of this property are a restaurant, a shared lounge and a 24-hour front desk, along with free WiFi throughout the property. The hotel has a garden and provides a sun terrace.

At the hotel, rooms include a desk, a flat-screen TV, a private bathroom, bed linen and towels. All rooms include a safety deposit box and some have city views. The rooms have a closet.

You can play pool at this 4-star hotel.

Popular points of interest near Hotel Caza Fisherman's Wharf include Alcatraz, Pier 39 and Coit Tower. The nearest airport is San Francisco International Airport, 14 miles from the accommodation.



Couples in particular like the location – they rated it 9.4 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
1,https://cf.bstatic.com/xdata/images/hotel/square600/249424738.webp?k=15db694379a11588382978af82de04fc882ccc614272ac6415f95aef6fac00ac&o=,https://www.booking.com/hotel/us/baldwinhotelsf.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215710&all_sr_blocks=5886607_106513313_0_0_0&highlighted_blocks=5886607_106513313_0_0_0&matching_block_id=5886607_106513313_0_0_0&sr_pri_blocks=5886607_106513313_0_0_0__134770&nad_id=963e29ce-498d-448f-bfe9-32ae904ec2d2_4&nad_cpc=1.15&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlhHZ1ArQWlOSEM3WmlVWEtJV1hlVkQxdCt4VFEvY0VZNVMwSVZ4eFBtc0dSMFhNdXBGM1lPUHFLLzRvelhFaTFxWTM0V3pLTk5qMEt4MUx5ZDY0cW5ZZTlrRzJTWW1reVBxNXIyRGovNTNyaE1VZzFtd1NXT0c1YmU0cEV6R0poSnlpempzaEhkZTMwNXJJMkxZVFVDeS9Lelpqb2NHREhJaVVvenpEWlUxVEIyUUNYVzJ4Vis2UGFlOU5wMlBaKzFaeU9jblRkWXJ0OVpZblBUTnhFYTJNNnRlczNZZ2JPVU9pcVhMQTFVUmxXcVBmMUNSYWtRN21CMUR6S3o3M2RENlpOUCthcnRtWHgwdythZkZiWjZVVDY4aHZUOXhpN3RXL3RSZWNxQXpnV3I3Tk9EK0wvY0oyUjZQdHFZTy9pMFFGKzJyMXVsbzJKekVZMTlzblVIc0wwN0F0MWNzTGJDd2s0MGVBWEdqb0ZoNmVQTmJXYTVZeSt1eERnTXNsTnBzSVNpUEtXS1NKM0R1YzJIbE1FZHk3U0tyYjVtalVlMlljKzJ2SlJjbjBjQk8yWU9sMytjNGU4elBqOWp0RzJkNmxyUFNNeEdTeVNvVzhLU0tuemFJVUx5UzZLNGxnS2x3QVNqaXNjZ092d0VGaHlzYzhoQ0lpSnVZOE9SKzk5M3RkL3QxN2V4aXBOMVNXUUhDVmtzNHBMYml2Y0ZPQk5VUEsxcm92Q1M1K2I4c0wwekpKYkt5VUpDY1lQZWZuSnAvTVE3clp0Y3dnUHZudzNkYXdCRjJxblRqU2UzY0d2UzU0NVN4c3NQYTJ6STlTS0NHeWw4Mkp0SDR3QXhHZVI5bGRneG9rU3NOdlB2Z0xobmxRTXNlejNQZXFSZkNEaGRnbDZZd0FOMU9naS92alhXTzI0YnJ6SUtaRXQvTzJBNjNab1d0QUd2NkFkazF4QWE2Q0l1ZkRpbk5nbVNnM0FjblFZQ1ArWTcwc3RXTm00a2RBSEJwdDNxY2VvaVY5UVFKb3hlbG9hL3lVK2ViYUVHV2FRKzdzV2xuemY0emcwUFZuYWV1MXo1MGU5eGV6cUJuYWxNNytmZEVMa1BBRkw0RDJHKzBRMDNDMmZncDE1VlJpM0xmYkJhNEU1WFlkWHNEU21GWjc2ZEcwVXR4NW9abUxUQjdIQlc4cS9MbjQ3cjhGcUFxUHJiZEl1YVRJcUJ0dVBGV1hzWStHR1FQNUk4VGh3OXdGR0N1T3NBRWVoTmcySldGSGVFd2JFWm9aMkRUSStDUU5nQnNQWFFDZCszYnkveENTbm15VHIxZDhnOWVpYURMT0tJQWo0TDBvZHZTRGhrYkdKZEttNTdVa1llY0crQzQ5Q1N3NS94cjlVcUQxSHhka0FYbXQ1WDdsOVZ3WGROaTRiTThpUDEzNXA1TUN4NUZSNi9sdTVCbnBZQk5HTXdvUHU0Q0Z1UzB1dGpkR2FCTjhTMWsvU1llUGMvR3piMW5ycHcvS0p3NmdLbVhFenFIWHdsVE5zbEZ1bDdUU2EzSENCclJlaDlCRGhVYTAwaHVYR3UyRk9tZi9EMUpsRGZESERrUEs4cUxlRFltQ2xJQWo3dTllYml5N1orR2dTd2tQN0hEMktsam1WTXh5RDNkVEpmRDRwQTRPUFd5eURXL01TNzF0ZFhaRmpzQXl0enl1YnRTYzY4LytzVGdoN0FVZ28xVjdCQzc1SnBocnlHeFRBVFMzcUFHRVl0VjRmOEpyQnF3aVk1RXBLQmdVclVKcnU3S3Z1a1hOTzh4MldiRWhuQXlWN2pwUjZGQVFiZktyRGFpeVB2cHRkbmN6NEZMMXFKMGZqakZVdzFwckZOaWFjbjNFMXRGMVNMTmRrWktpQmwzM09zZjAwdVJzaHJBdHptSjJjRzczUVg5dTJFbTVtU25qeXJ6M1dMZHhhb3JZd2YrWndLeTJ6Tzc3Zm9BZUp1RDdrY01EclJpYWZrSTdRblpyR0tJeTNxekZBTU1kZTNwNkJRVFFuNkdEM2RnYjdrbWoyY0ZicWIwalMzTGg2QitEUkVaRHY0OVd1Vjc1TnNyd2M1QzEyYnFkcFBtUXo0L3pReGFVNjd4VXcyaVM3T2FycW1TckYvNXhMeDZyMUR2bXAyeVR6ck8vQkp5aHdnYlRSck9MeXhaVFZNSmpYWlZ2YWtxUzgyd1FnRmM1YzdiNVpCY0F1Y1JKMnRLSDQxMVlmREpldkNySXlrYkhPL1VRcHUwYW1TSGdTWjFXUlE2ZmtwUkNFMS9yRlkyUjdXRTU4R3hFc2MyUDlFUUZBUzQvUkdTa3NPenRhSEVpakhiVkpEaEVvc0VGb1Y5QlM4STBEM3hwVDIrV1p3aGIyUUhkS01qOWVzMXBSNHB3aVN0YXBJa2tISnp1T0pIMk1LNnBreFNRcE5kNFNBZ2lwTzIwd3RjWXNrdHhRRVE3OGprYUVKMHFrYk9RYmROV3g4UlAyb2R5Y2p0OGZ5TlJjY1NoNURFcmhKVnIySGVNQUU5WG5Vb0ZBekVHWXBsanRHb3dMWXJTWnF4SVhZSXQvdVFNM3puR0owODhzOXdSV2h4REg5a3ZzdG4zcm5mbld6WFB3ZzRJMDVuTXNPeDNtTEM5MVREZitRQW5tZ2pJTklkdlc0QmtLS0dGSDYwbEd3Vis4TDJRSlZTNkQ3MCs3bThpY0VvS1IzR1FMODZPTTFZWTZiOFZXTngzVFdYcldXVmlaZGxWdmFqdzR0UUVkZVJHM1UrUjZxbDNGZWFFZVZraHBIRDFleWJuRHVNMnBsWU8zeFdBMExFTHZBYjBhcGorMlZRTlJoL3B1eTVmVVV1OVBvYWRMSXNzdWFrN0lwWTZhUHcvSVdneFU1RU9EK09MM0NsTWFWV3lrdWk2Mk8vbzdYVFJqeWN2UFdTZk14LzZsbGNYcU1tY3dBNnZPVTV6ekNGQTg5aDlQdFJBWUJXTlRWaDJIVnhBNFZkQzF6Q0VYbnBsWmdkeE5ydEZoS0F2ZStwTFJ2RDkrY3grZm8rSjRBbko3NC9aVEJzZnNLQkhCSnBGM0ZRak5nZTJ4dGF3Q2htbzN6UUhIV1htSGdzSDFhVElERS9qc1RXN3ROK0VlbWdmcHdZMTF1bkoyVUlHT2VtYXJVVWVRYzc3enR3bGxUeVAyZTk0cTliVWtyQk5ZMkFoWUhEQS9samZ6MTZhTzZpb0xOUVpPK2lRTkVRMnlhNERHMW5ZWmRnWldtWW9ma2hpN0lBU2tYZ1hUQjlaN2UzQkt1cTRWVnA1VmZMWWxzYkc1aGxBU2MvM0Jvdz09In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hotel 32One,300 m from center,Travel Sustainable Level 2,8.1,Comfort 8.6,"2,165 reviews",Standard Room - Accessible,1 full bed,"€ 1,236","€ 1,359","Union Square, San Francisco",2024-03-03,2024-03-10,37.78998273,-122.40561850,Hotel 32One,"




You're eligible for a Genius discount at Hotel 32One! To save at this property, all you have to do is sign in.
Adjacent to the landmark Dragon Gate in San Francisco's historic Chinatown, this hotel offers guest rooms with free WiFi and a 24-hour reception. Shopping and dining opportunities in Union Square are just 4 minutes’ walk away.

The charming guest rooms at Hotel32One include a flat-screen cable satellite TV and a private bathroom with free toiletries and a hairdryer.

The hotel provides free coffee and tea in the lobby area as well.

San Francisco International Airport is 40 minutes’ drive away from Hotel 32One. Grace Cathedral is 12 minutes’ walk away. The city's famous cable car system is also within walking distance and provides instant access to many popular areas.



Couples in particular like the location – they rated it 9.4 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
2,https://cf.bstatic.com/xdata/images/hotel/square600/17543967.webp?k=f4033a9be269584d579d2e8165c0cbaf7e62377c341c274884c0568083726da9&o=,https://www.booking.com/hotel/us/the-mosser-san-francisco.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215711&all_sr_blocks=5606905_109009690_0_0_0&highlighted_blocks=5606905_109009690_0_0_0&matching_block_id=5606905_109009690_0_0_0&sr_pri_blocks=5606905_109009690_0_0_0__47866&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,The Mosser Hotel,350 m from center,Travel Sustainable Level 2,7.2,,"1,755 reviews",Double Room with Shared Bathroom,1 full bed,€ 439,€ 965,"Union Square, San Francisco",2024-03-03,2024-03-10,37.78501623,-122.40513034,The Mosser Hotel,"




This San Francisco hotel, built in 1913, mixes contemporary conveniences with historical design. The hotel features an on-site state-of-the-art recording studio and rooms with access to free WiFi.

Guestrooms at The Mosser Hotel include a bathrobe and hairdryer. Some rooms offer a private bathroom with bath amenities.

Guests can enjoy American comfort food at the Keystone. The restaurant has a 12-seat communal table and serves high quality spirits with rare flavor combinations. Two Happy Hours and weekend brunch are offered at the Keystone.

The Hotel Mosser is within a 5-minute walk of Moscone Convention Center. The Powell Street BART Station is within a 3-minute walk of the hotel and allows for easy access of San Francisco attractions including Fisherman’s Wharf and Chinatown. Parking is available for an extra fee.



Couples in particular like the location – they rated it 8.9 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
3,https://cf.bstatic.com/xdata/images/hotel/square600/228751512.webp?k=862c4a938912e472ab2af3028531968acd6364f23efd2e4ad9cf26496bcb45bb&o=,https://www.booking.com/hotel/us/riu-plaza-fishermans-wharf.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215711&all_sr_blocks=5889124_268779679_2_1_0&highlighted_blocks=5889124_268779679_2_1_0&matching_block_id=5889124_268779679_2_1_0&sr_pri_blocks=5889124_268779679_2_1_0__156014&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Riu Plaza Fisherman's Wharf,2.2 km from center,Travel Sustainable Level 3+,8.2,Comfort 8.8,"11,333 reviews",Deluxe King Room,1 king bed,"€ 1,431","€ 2,347","Fisherman's Wharf, San Francisco",2024-03-03,2024-03-10,37.80699906,-122.41348274,Riu Plaza Fisherman's Wharf,"




You're eligible for a Genius discount at Riu Plaza Fisherman's Wharf! To save at this property, all you have to do is sign in.
Located within 10 minutes’ walk from Pier 39, the family-friendly Hotel Riu Plaza Fisherman's Wharf is a nonsmoking accommodations that features an outdoor pool. All guest rooms include a 49-inch flat-screen TV.

Hotel Riu Plaza Fisherman's Wharf provides every air-conditioned guestroom with ironing facilities, a safety deposit box and tea- and coffee-making facilities. Deluxe bedding is included along with a spacious desk and chair.

Guests can relax by the outdoor fire pits or take wine and bay tours, which can be arranged through the concierge service. Free WiFi is available in the hotel lobby. A business center and event facilities are located on site.

Northpoint is a BAR from 6pm to midnight.

The gastronomy of this hotel in Pier 39 will not disappoint you. In the morning, you can enjoy delicious American buffet breakfasts so you can start the day with energy. The rest of the day, you have the Grab & Go with some tables and chairs, where you can enjoy products from our menu while you work on your laptop or take a break. The Hotel Riu Plaza Fisherman's Wharf bar offers you the ideal setting to enjoy drinks and snacks during the afternoon.

Cannery Shopping Center is 1640 feet from Hotel Riu Plaza Fisherman's Wharf. The iconic Golden Gate Bridge is 3.7 mi away. Ghirardelli Square is 12 minutes’ walk from this hotel.



Couples in particular like the location – they rated it 9.4 for a two-person trip.



Hotel chain/brand:
RIU Plaza
, 
RIU Hotels & Resorts

Distance in property description is calculated using © OpenStreetMap

Show me more



"
4,https://cf.bstatic.com/xdata/images/hotel/square600/127828299.webp?k=93dc916f2f0c9b5a813c05d00171488d5ef9960c8408a6f3dc2f7a507bff54cf&o=,https://www.booking.com/hotel/us/the-bartlett-and-guesthouse.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215711&all_sr_blocks=305459502_273898135_0_0_0&highlighted_blocks=305459502_273898135_0_0_0&matching_block_id=305459502_273898135_0_0_0&sr_pri_blocks=305459502_273898135_0_0_0__50413&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,The Bartlett Hotel and Guesthouse,200 m from center,Travel Sustainable Level 1,7.2,,"1,666 reviews",Queen Room with Shared Bathroom,1 queen bed,€ 462,,"Union Square, San Francisco",2024-03-03,2024-03-10,37.78639728,-122.40875090,The Bartlett Hotel and Guesthouse,"




You're eligible for a Genius discount at The Bartlett Hotel and Guesthouse! To save at this property, all you have to do is sign in.
Featuring a shared lounge, bar and free WiFi, The Bartlett Hotel and Guest house is located in San Francisco, 1969 feet from Union Square and 1.3 mi from Moscone Center. Located in the Union Square district, the property provides guests with access to a restaurant. Attractions in the area include San Francisco City Hall set 1.6 mi from the property.

All guest rooms in the hotel are equipped with a flat-screen TV.

Staff at the 24-hour front desk can provide tips on the area.

Coit Tower is 1.7 mi from The Bartlett Hotel and Guest house, while Oracle Park is 1.8 mi from the property. The nearest airport is San Francisco International Airport, 14 mi from the accommodations.



Couples in particular like the location – they rated it 8.9 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
5,https://cf.bstatic.com/xdata/images/hotel/square600/51805897.webp?k=6458c338a8618a66e1203b9368509f0a03c59cd8a013e1080c16624f7a7ac86a&o=,https://www.booking.com/hotel/us/zephyr-san-francisco.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215711&all_sr_blocks=130731601_264135200_2_0_0&highlighted_blocks=130731601_264135200_2_0_0&matching_block_id=130731601_264135200_2_0_0&sr_pri_blocks=130731601_264135200_2_0_0__131439&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Hotel Zephyr San Francisco,2.3 km from center,Travel Sustainable Level 2,8.3,Comfort 8.7,"4,542 reviews",Standard King Room,1 king bed,"€ 1,206","€ 1,626","Fisherman's Wharf, San Francisco",2024-03-03,2024-03-10,37.80776270,-122.41322170,Hotel Zephyr San Francisco,"




You're eligible for a Genius discount at Hotel Zephyr San Francisco! To save at this property, all you have to do is sign in.
Offering a fitness center, Hotel Zephyr San Francisco is located a short 984 feet from Pier 39 Fisherman's Wharf.

Each nautical-themed room features fishnet-covered light fixtures and porthole-style windows. A satellite TV and WiFi offer in-room entertainment. Featuring a bath or shower, the private bathrooms come with a hairdryer and free toiletries. Extras include a refrigerator, desk, a safety deposit box, and a laptop safe. Select rooms offer stunning views of San Francisco Bay.

At Hotel Zephyr San Francisco, you will find a 24-hour reception and a mini-market. Other facilities offered at the property include a shared lounge, a games room and a ticket service. An array of activities can be enjoyed on site or in the surroundings, including cycling.

The hotel is 2625 feet from Lombard Street and Ghirardelli Square. San Francisco International Airport is 13 mi away.



Couples in particular like the location – they rated it 9.5 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
6,https://cf.bstatic.com/xdata/images/hotel/square600/20237235.webp?k=c58b885c82fb9e54ac743ac60a35d597dccbe0542b25e7d96b1897ae46d9a7da&o=,https://www.booking.com/hotel/us/fitzgerald-union-square.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215711&all_sr_blocks=5610204_175804938_0_1_0&highlighted_blocks=5610204_175804938_0_1_0&matching_block_id=5610204_175804938_0_1_0&sr_pri_blocks=5610204_175804938_0_1_0__52693&from=searchresults#hotelTmpl,Fitzgerald Hotel Union Square,400 m from center,,7.2,,601 reviews,Petite Double Room,1 full bed,€ 483,€ 817,"Union Square, San Francisco",2024-03-03,2024-03-10,37.78791499,-122.41212755,Fitzgerald Hotel Union Square,"




Located in the heart of San Francisco’s Theater District, just 5 minutes’ walk from fashionable Union Square, this charming historic boutique hotel elegantly combines old-world charm with many of today's modern conveniences such as free WiFi. A daily free continental breakfast is served at the hotel.

Featuring free WiFi, rooms at Fitzgerald Hotel Union Square offer Victorian décor and include mini-refrigerators and microwaves.

Dragon’s Gate Chinatown is 10 minutes’ walk away from Fitzgerald Hotel Union Square. The San Francisco Ferry Building is 1.9 mi away from the property.  Westfield San Francisco shopping center is 0.6 mi away.



Couples in particular like the location – they rated it 8.9 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
7,https://cf.bstatic.com/xdata/images/hotel/square600/328622199.webp?k=9cbeb95f2d71606582330c9824b55d7cd4f4b4f715e4159770c3fa4555ec05d5&o=,https://www.booking.com/hotel/us/citizenm-san-francisco-union-square.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215711&all_sr_blocks=746893101_330715007_2_2_0&highlighted_blocks=746893101_330715007_2_2_0&matching_block_id=746893101_330715007_2_2_0&sr_pri_blocks=746893101_330715007_2_2_0__125580&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,citizenM San Francisco Union Square,200 m from center,Travel Sustainable Level 2,9.0,Comfort 9.4,"2,909 reviews",King Room,1 king bed,"€ 1,152","€ 1,440","Union Square, San Francisco",2024-03-03,2024-03-10,37.78579900,-122.40744200,citizenM San Francisco Union Square,"




Ideally located in the center of San Francisco, citizenM San Francisco Union Square has air-conditioned rooms, a fitness center, free WiFi and a shared lounge. The property is around a 10-minute walk from Moscone Center, 0.9 miles from San Francisco City Hall and 1.7 miles from Oracle Park. The property is non-smoking throughout and is located a 4-minute walk from Union Square.

At the hotel, the rooms have a desk, a flat-screen TV, a private bathroom, bed linen and towels. All rooms in citizenM San Francisco Union Square are equipped with free toiletries and an iPad.

At the accommodation you'll find a restaurant serving American cuisine.

Guests will find a 24-hour front desk, a business center and ironing service at the property.

Coit Tower is 1.9 miles from citizenM San Francisco Union Square, while Pier 39 is 2.3 miles from the property. The nearest airport is San Francisco International Airport, 12 miles from the hotel.



Couples in particular like the location – they rated it 9.4 for a two-person trip.



Hotel chain/brand:
CitizenM

Distance in property description is calculated using © OpenStreetMap

Show me more



"
8,https://cf.bstatic.com/xdata/images/hotel/square600/130456067.webp?k=dca94ebfd08e34510c1a313b73c15f5425ef60d0ebaf8437351226ee6dd84ab4&o=,https://www.booking.com/hotel/us/serrano.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215711&all_sr_blocks=4744318_91457659_2_0_0&highlighted_blocks=4744318_91457659_2_0_0&matching_block_id=4744318_91457659_2_0_0&sr_pri_blocks=4744318_91457659_2_0_0__120073&from=searchresults#hotelTmpl,Hotel Spero,400 m from center,,8.5,Comfort 8.9,175 reviews,Queen Room,1 queen bed,"€ 1,101","€ 1,185","Union Square, San Francisco",2024-03-03,2024-03-10,37.78621602,-122.41149589,Hotel Spero,"




You're eligible for a Genius discount at Hotel Spero! To save at this property, all you have to do is sign in.
This eco-friendly restored landmark hotel is located in downtown San Francisco, 5 minutes’ walk from shopping at Union Square. It features a 24-hour gym, on-site dining and colorful air-conditioned rooms.

Guest rooms at Hotel Spero feature large windows with natural light flowing through. Bathrooms are highlighted by a rejuvenating glass enclosed shower or tub. Rooms include a 50-inch TV, bath amenities, guest bathrobes, an in-room safe, ironing facilities and a mini-refrigerator.

Offering American cuisine, handcrafted cocktails and a selection of locally brewed beers, Jasper's Corner Tap & Kitchen is open for breakfast, lunch and dinner. The hotel offers coffee in the morning.

A 24-hour business center with fax and photocopying services is available to guests of Hotel Spero.

The Powell Street BART Metro Station is within 10 minutes' walk of this hotel. The Dragon’s Gate entrance to Chinatown is 13 minutes’ walk away. San Francisco International Airport is 12 mi away from Hotel Spero.




Distance in property description is calculated using © OpenStreetMap

Show me more



"
9,https://cf.bstatic.com/xdata/images/hotel/square600/5995084.webp?k=4f709c824e34108f3a7f3bdceb6b89ba9b93aa7f467459fd21d389a10e3e3a59&o=,https://www.booking.com/hotel/us/hebert.html?label=gen173nr-1FCAEoggI46AdIM1gEaEaIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AvCRy60GwAIB0gIkMWFmOTE2MjUtMDhjNS00NmJmLTllNGQtOWY1MjQxZDdkYjhm2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-03-03&checkout=2024-03-10&dest_id=20015732&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d88d924d24f301e2&srepoch=1706215711&all_sr_blocks=5595309_273898015_0_0_0&highlighted_blocks=5595309_273898015_0_0_0&matching_block_id=5595309_273898015_0_0_0&sr_pri_blocks=5595309_273898015_0_0_0__55812&from=searchresults#hotelTmpl,Herbert Hotel,200 m from center,,6.9,,906 reviews,Queen Room with Shared Bathroom,1 queen bed,€ 512,,"Union Square, San Francisco",2024-03-03,2024-03-10,37.78626160,-122.40815520,Herbert Hotel,"




You're eligible for a Genius discount at Herbert Hotel! To save at this property, all you have to do is sign in.
This historic San Francisco hotel is located along the Powell Street Cable Car line, 1 block from shopping at Union Square. It features contemporary rooms with free WiFi.

Guest rooms at Herbert Hotel boast colorful bedspreads and wall art. A cable TV and a coffee maker are provided.

Laundry facilities are available. Shuttle service to San Francisco International Airport may be arranged.

Chinatown and the San Francisco Museum of Modern Art are 10 minutes' walk from Herbert Hotel San Francisco. The Powell St. BART Subway Station is 1 block away.



Couples in particular like the location – they rated it 9.0 for a two-person trip.



Distance in property description is calculated using © OpenStreetMap

Show me more



"
